,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
10,"Nutricost, d-аспарагиновая кислота, 3000 мг, 180 капсул (750 мг в 1 капсуле)",Nutricost,2026-09-01,180,шт.,0.2,2756,Аминокислоты,13.5,7.1,7.1,аспарагиновый кислота,1
11,"ALLMAX, D-аспарагиновая кислота, 100 г",ALLMAX,2025-02-01,100,г,0.16,2915,Аминокислоты,6.4,6.4,12.7,аспарагиновый кислота,1
12,"DaVinci Laboratories of Vermont, Aller-DMG`` 60 таблеток",DaVinci Laboratories of Vermont,2025-03-01,60,шт.,0.11,7608,Аминокислоты,9.7,5.2,5.1,,1
13,"Metabolic Nutrition, Amino 4500, добавка с аминокислотами 1500 мг, 90 таблеток",Metabolic Nutrition,2026-07-01,90,шт.,0.18,3489,Аминокислоты,12.8,6.4,6.4,amino добавка аминокислота,1
14,"Zahler, Advanced DMG, Dimethylglycine, 500 mg, 90 Chewable Tablets",Zahler,2025-12-01,90,шт.,0.13,6923,Аминокислоты,11.8,9.0,7.2,advanced dmg dimethylglycine,1
15,"DaVinci Laboratories of Vermont, Amino 21, 750 мг, 90 капсул",DaVinci Laboratories of Vermont,2025-08-01,90,шт.,0.11,5678,Аминокислоты,11.8,6.4,6.2,amino,1
16,"DaVinci Laboratories of Vermont, Глюконик DMG, жидкий, 300 мг, 60 мл (2 жидк. Унции)",DaVinci Laboratories of Vermont,2025-11-01,59,мл,0.14,8435,Аминокислоты,11.0,5.3,3.9,глюконик dmg жидкий,1
17,"NOW Foods, ДМГ, 125 мг, 100 вегетарианских капсул",NOW Foods,2028-08-01,100,шт.,0.08,1793,Аминокислоты,10.7,5.1,5.1,дмг,1
18,"Life Extension, Essential Youth L-эрготионеин, 5 мг, 30 вегетарианских капсул",Life Extension,2025-09-01,30,шт.,0.03,3422,Аминокислоты,8.6,4.3,4.3,essential youth эрготионеин,1
19,"Country Life, DLPA (DL-фенилаланин) в капсулах, 1000 мг, 60 веганских капсул",Country Life,2026-02-01,60,шт.,0.24,5270,Аминокислоты,11.2,6.1,6.0,dlpa фенилаланин капсула,1
20,"NutraBio, Amino Kick, аминокислота с гибискусом и клубникой, 269 г (0,59 фунта)",NutraBio,2025-05-01,269,г,0.34,4125,Аминокислоты,14.9,9.3,9.1,amino kick аминокислота гибискус клубника,1
21,"NOW Foods, L-гистидин, 600 мг, 60 растительных капсул",NOW Foods,2025-09-01,60,шт.,0.1,3085,Аминокислоты,11.0,5.7,5.8,гистидин,1
22,"MRM Nutrition, Nutrition, BCAA и G 6000, 150 капсул",MRM Nutrition,2026-11-01,150,шт.,0.25,3974,Аминокислоты,7.9,7.9,13.0,nutrition bcaa,1
23,"Xtend, The Original, 7 г аминокислот с разветвленными цепями, со вкусом лимона и лайма, 1,26 кг (2,78 фунта)",Xtend,2025-09-01,1220,г,1.36,10615,Аминокислоты,21.8,13.5,13.3,the original аминокислота разветвлять цепь вкус лимон лайма,1
24,"Bluebonnet Nutrition, BCAA в соотношении 4: 1: 1, 120 растительных капсул",Bluebonnet Nutrition,2026-11-01,120,шт.,0.34,5488,Аминокислоты,6.6,6.6,13.0,bcaa соотношение,1
25,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом винограда, 405 г (14,3 унции)",Xtend,2025-11-01,405,г,0.47,4779,Аминокислоты,17.3,9.7,9.7,the original аминокислота разветвлять цепь bcaa вкус виноград,1
26,"Animal, Juiced Aminos, апельсиновый сок, 377 г (13,3 унции)",Animal,2026-07-01,377.048,г,0.48,5416,Аминокислоты,14.0,10.3,10.2,juiced aminos апельсиновый сок,1
27,"EVLution Nutrition, BCAA LEAN ENERGY, фруктовый пунш, 321 г (11,32 унции)",EVLution Nutrition,2025-05-01,321,г,0.41,3351,Аминокислоты,14.7,9.4,9.4,bcaa lean energy фруктовый пунш,1
28,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом клубники и киви, 1,26 кг (2,78 фунта)",Xtend,2025-10-01,1220,г,1.44,10615,Аминокислоты,13.2,13.3,21.8,the original аминокислота разветвлять цепь bcaa вкус клубника киви,1
29,"Optimum Nutrition, BCAA 1000, 1000 мг, 400 капсул (500 мг в 1 капсуле)",Optimum Nutrition,2025-06-01,400,шт.,0.36,7042,Аминокислоты,16.5,8.8,8.8,bcaa,1
30,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом клубники и киви, 420 г (14,8 унции)",Xtend,2025-10-01,420,г,0.52,4779,Аминокислоты,17.3,9.7,9.7,the original аминокислота разветвлять цепь bcaa вкус клубника киви,1
31,"Optimum Nutrition, BCAA 1000, 1000 мг, 200 капсул (500 мг в 1 капсуле)",Optimum Nutrition,2025-06-01,200,шт.,0.18,3798,Аминокислоты,7.6,7.6,13.5,bcaa,1
32,"Cellucor, BCAA Sport, Увлажнение и восстановление целый день, Вишневый лаймад, 11,6 унц. (330 г)",Cellucor,2025-06-01,330,г,0.41,3960,Аминокислоты,14.7,9.1,8.9,bcaa sport увлажнение восстановление целый день вишневый лаймад,1
33,"Animal, Juiced Aminos, формула для приема во время и после тренировки, клубничный и лаймад, 366 г (12,9 унции)",Animal,2026-02-01,377.048,г,0.48,5416,Аминокислоты,13.8,10.3,10.3,juiced aminos формула прием время тренировка клубничный лаймад,1
34,"Life Extension, аминокислоты с разветвленной цепью, 90 капсул",Life Extension,2025-10-01,90,шт.,0.09,2764,Аминокислоты,11.7,6.4,6.4,аминокислота разветвлять цепь,1
35,"ALLMAX, ACUTS, аминокислотная энергия, со вкусом сладкой ваты, 210 г (7,4 унции)",ALLMAX,2025-11-01,210,г,0.27,3489,Аминокислоты,11.6,9.3,9.3,acuts аминокислотный энергия вкус сладкий вата,1
36,"EVLution Nutrition, BCAA Lean Energy, со вкусом синей малины, 303 г (10,60 унции)",EVLution Nutrition,2025-06-01,303,г,0.4,2605,Аминокислоты,14.7,9.4,9.4,bcaa lean energy вкус синий малина,1
37,"EVLution Nutrition, BCAA5000, без вкусовых добавок, 300 г (10,58 унции)",EVLution Nutrition,2025-09-01,300,г,0.39,2765,Аминокислоты,9.1,9.1,10.7,bcaa5000 вкусовой добавка,1
38,"ALLMAX, BCAA, быстрорастворимый порошок в соотношении 2:1:1, с нейтральным вкусом, 400 г (14,11 унции)",ALLMAX,2025-02-01,400.011,г,0.48,4290,Аминокислоты,15.2,9.4,9.4,bcaa быстрорастворимый порошок соотношение нейтральный вкус,1
39,"EVLution Nutrition, BCAA Energy, со вкусом арбуза, 252 г (8,89 унции)",EVLution Nutrition,2025-07-01,252,г,0.32,2762,Аминокислоты,14.9,9.3,9.3,bcaa energy вкус арбуз,1
40,"APS, Chain'd Reaction, Rocket Pop, 300 г (10,58 унции)",APS,2025-04-01,300,г,0.39,4772,Аминокислоты,10.8,9.3,9.3,chain reaction rocket pop,1
41,"Xtend, The Original, 7 г BCAA, фруктовый пунш, 390 г (13,8 унции)",Xtend,2024-12-01,390,г,0.48,4779,Аминокислоты,15.0,9.4,9.4,the original bcaa фруктовый пунш,1
42,"EVLution Nutrition, BCAA Energy, Зеленое Яблоко, 10,2 унций (291 г)",EVLution Nutrition,2025-06-01,291,г,0.37,2762,Аминокислоты,14.7,9.4,9.3,bcaa energy зеленый яблоко,1
43,"ProSupps, Hydro BCAA +Essentials, добавка с электролитами и аминокислотами, фруктовый пунш, 414 г (14,6 фунтов)",ProSupps,2025-01-01,414,г,0.5,5102,Аминокислоты,14.9,9.4,9.3,hydro bcaa essentials добавка электролит аминокислота фруктовый пунш,1
44,"Gaspari Nutrition, Aminolast, Супертопливо BCAA, восстановление и выносливость, лимонный лед, 14,8 унц. (420 г)",Gaspari Nutrition,,420,г,0.52,4616,Аминокислоты,14.2,9.1,9.1,aminolast супертопливо bcaa восстановление выносливость лимонный лед,1
45,"ALLMAX, AMINOCORE BCAA, ананас и манго, 945 г (2,1 фунта)",ALLMAX,2026-08-01,952,г,1.1,8196,Аминокислоты,14.1,17.3,14.2,aminocore bcaa ананас манго,1
46,"Optimum Nutrition, BCAA 5000, растворимый порошок, без добавок, 345 г (12,16 унции)",Optimum Nutrition,2025-08-01,344.73,г,0.43,6160,Аминокислоты,13.7,12.4,12.4,bcaa растворимый порошок добавка,1
47,"Optimum Nutrition, BCAA 1000, 1000 мг, 60 капсул (500 мг в 1 капсуле)",Optimum Nutrition,2025-10-01,60,шт.,0.07,1704,Аминокислоты,10.7,5.1,5.1,bcaa,1
48,"EVLution Nutrition, BCAA ENERGY, голубая малина, 291 г (10,26 унции)",EVLution Nutrition,2024-06-01,291,г,0.36,3752,Аминокислоты,14.9,9.3,9.3,bcaa energy голубой малина,1
49,"Xtend, The Original 7 г BCAA, со вкусом лимона и лайма, 405 г (14,3 унции)",Xtend,2026-01-01,405,г,0.48,4779,Аминокислоты,14.9,9.4,9.3,the original bcaa вкус лимон лайма,1
50,"ALLMAX, AMINOCORE BCAA, со вкусом розового лимонада, 945 г (2,1 фунта)",ALLMAX,2026-06-01,952,г,1.11,8196,Аминокислоты,17.4,14.2,14.2,aminocore bcaa вкус розовый лимонад,1
51,"APS, Chain'd Reaction, арбуз, 300 г (10,58 унции)",APS,2025-01-01,300,г,0.36,4772,Аминокислоты,10.9,9.1,9.1,chain reaction арбуз,1
52,"ProSupps, Hydro BCAA +Essentials, добавка с электролитами и аминокислотами, голубая малина, 414 г (14,6 унции)",ProSupps,2025-04-01,414,г,0.5,5102,Аминокислоты,14.9,9.1,9.1,hydro bcaa essentials добавка электролит аминокислота голубой малина,1
53,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом манго, 1,26 кг (2,78 фунта)",Xtend,2025-12-01,1220,г,1.36,10615,Аминокислоты,13.2,13.3,21.8,the original аминокислота разветвлять цепь bcaa вкус манго,1
54,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом голубой малины, 420 г (14,8 унции)",Xtend,2025-11-01,420,г,0.52,4779,Аминокислоты,17.3,9.7,9.7,the original аминокислота разветвлять цепь bcaa вкус голубой малина,1
55,"BSN, Amino-X, для выносливости и восстановления, со вкусом винограда, 435 г (15,3 унции)",BSN,2025-08-01,435,г,0.54,4265,Аминокислоты,9.7,9.7,16.8,amino выносливость восстановление вкус виноград,1
56,"EVLution Nutrition, BCAA Energy, смесь для приготовления энергетических напитков, фруктовый пунш, 288 г (10,16 унции)",EVLution Nutrition,2025-04-01,288,г,0.34,3752,Аминокислоты,14.9,9.4,9.1,bcaa energy смесь приготовление энергетический напиток фруктовый пунш,1
57,"JNX Sports, The Jinx, Hydra BCAA +, арбуз, 1 шт., 10,3 г (0,36 унции)",JNX Sports,2025-07-01,10,г,0.01,419,Аминокислоты,12.6,3.4,1.1,the jinx hydra bcaa арбуз,1
58,"ALLMAX, AMINOCORE BCAA, арбуз, 945 г (2,1 фунта)",ALLMAX,2025-12-01,952,г,1.13,8196,Аминокислоты,17.5,14.2,14.1,aminocore bcaa арбуз,1
59,"EVLution Nutrition, BCAA ENERGY, Pink Starblast, 270 г (9,52 унции)",EVLution Nutrition,2025-07-01,291,г,0.33,2762,Аминокислоты,14.7,9.4,9.3,bcaa energy pink starblast,1
60,"EVLution Nutrition, BCAA5000, 240 капсул",EVLution Nutrition,2025-10-01,240,шт.,0.22,2879,Аминокислоты,13.2,7.9,7.9,bcaa5000,1
61,"BPI Sports, Best BCAA, голубая малина, 300 г (10,58 унций)",BPI Sports,2026-04-01,300,г,0.37,4730,Аминокислоты,9.4,9.4,11.7,best bcaa голубой малина,1
62,"NutraBio, BCAA 5000, киви и клубника, 401 г (0,88 фунта)",NutraBio,2024-10-01,399.161,г,0.48,5582,Аминокислоты,15.7,10.3,10.2,bcaa киви клубника,1
63,"ProSupps, Hydro BCAA + Essentials, арбуз, 414 г (14,6 унции)",ProSupps,2024-07-01,414,г,0.5,5102,Аминокислоты,14.9,9.3,9.3,hydro bcaa essentials арбуз,1
64,"EVLution Nutrition, BCAA Lean Energy, со вкусом винограда, 309 г (10,90 унции)",EVLution Nutrition,2025-08-01,309,г,0.39,3351,Аминокислоты,14.9,9.4,9.3,bcaa lean energy вкус виноград,1
65,"NOW Foods, Sports, аминокислотный порошок с разветвленной цепью, 12 унций (340 г)",NOW Foods,2028-10-01,340,г,0.43,5005,Аминокислоты,16.8,8.6,8.6,sports аминокислотный порошок разветвлять цепь,1
66,"EVLution Nutrition, BCAA5000, яростный виноград, 258 г (9,1 унции)",EVLution Nutrition,2026-02-01,258,г,0.32,2587,Аминокислоты,11.4,9.3,9.3,bcaa5000 яростный виноград,1
67,"fitcode, BCAA, голубая малина, 240 г (8,5 унции)",fitcode,2025-10-01,240,г,0.32,2514,Аминокислоты,11.2,9.1,9.1,bcaa голубой малина,1
68,"Lake Avenue Nutrition, аминокислоты с разветвленными цепями, 240 растительных капсул",Lake Avenue Nutrition,,240,шт.,0.31,4748,Аминокислоты,15.7,7.9,7.9,аминокислота разветвлять цепь,1
69,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом манго, 420 г (14,8 унции)",Xtend,2025-10-01,420,г,0.52,4779,Аминокислоты,17.3,9.7,9.7,the original аминокислота разветвлять цепь bcaa вкус манго,1
70,"SteelFit, Steel Fuel, универсальное средство с разветвленной цепью и BCAA + Hydration Formula, виноградная сода, 330 г (11,64 унции)",SteelFit,2025-08-01,330,г,0.41,4610,Аминокислоты,14.7,9.4,9.4,steel fuel универсальный средство разветвлять цепь bcaa hydration formula виноградный сода,1
71,"MRM Nutrition, Reload BCAA + G, восстановление после тренировки, арбуз, 330 г (11,6 унции)",MRM Nutrition,2026-11-01,330,г,0.41,3462,Аминокислоты,14.7,9.4,9.4,reload bcaa восстановление тренировка арбуз,1
72,"California Gold Nutrition, микронизированные BCAA, аминокислоты с разветвленной цепью, 500 мг, 240 растительных капсул (250 мг в 1 капсуле)",California Gold Nutrition,2025-09-01,240,шт.,0.27,3826,Аминокислоты,13.7,7.6,7.6,микронизированный bcaa аминокислота разветвлять цепь,1
73,"ALLMAX, AMINOCORE BCAA, смесь для роста мышц, фруктовый пунш, 315 г (0,69 фунта)",ALLMAX,2025-02-01,315,г,0.4,4290,Аминокислоты,15.7,10.2,10.4,aminocore bcaa смесь рост мышца фруктовый пунш,1
74,"BSN, Amino-X, выносливость и восстановление, арбуз, 435 г (15,3 унции)",BSN,2025-12-01,435,г,0.54,4265,Аминокислоты,9.7,9.7,16.8,amino выносливость восстановление арбуз,1
75,"Nutricost, Для женщин, BCAA, клубничный лимонад, 330 г (11,6 унции)",Nutricost,2026-08-01,330,г,0.39,3346,Аминокислоты,11.6,9.1,9.1,женщина bcaa клубничный лимонад,1
76,"EVLution Nutrition, BCAA ENERGY, апельсиновый сок, 285 г (10,1 унции)",EVLution Nutrition,2025-11-01,285,г,0.35,2282,Аминокислоты,14.7,9.4,9.3,bcaa energy апельсиновый сок,1
77,"RYSE, BCAA / EAA, вишневый лаймад, 372 г (13,1 унции)",RYSE,2025-02-01,372,г,0.45,5898,Аминокислоты,14.9,9.3,9.1,bcaa eaa вишневый лаймад,1
78,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом арбуза, 1,17 кг (2,58 фунта)",Xtend,2025-09-01,1170,г,1.3,10615,Аминокислоты,21.3,13.3,13.3,the original аминокислота разветвлять цепь bcaa вкус арбуз,1
79,"RYSE, BCAA / EAA, чай с персиком и манго, 357 г (12,6 унции)",RYSE,2024-08-01,357,г,0.43,5898,Аминокислоты,14.9,9.3,9.1,bcaa eaa чай персик манго,1
80,"Best Naturals, BCAA, 3200 мг, 400 капсул (800 мг в 1 капсуле)",Best Naturals,2026-02-01,400,шт.,0.43,4704,Аминокислоты,16.4,8.6,8.6,bcaa,1
81,"Xtend, Ripped, 7 г аминокислот с разветвленной цепью, со вкусом клубники и киви, 495 г (1,09 фунта)",Xtend,2025-10-01,496,г,0.59,6369,Аминокислоты,16.3,9.4,9.3,ripped аминокислота разветвлять цепь вкус клубника киви,1
82,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, арбуз, 321 г (11,3 унции)",Cutler Nutrition,2025-08-01,320,г,0.41,5102,Аминокислоты,14.4,9.3,9.1,generate превосходный настой bcaa eaa арбуз,1
83,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, ежевичный лимонад, 330 г (11,64 унции)",Cutler Nutrition,2025-07-01,330,г,0.43,5102,Аминокислоты,14.5,9.1,9.1,generate превосходный настой bcaa eaa ежевичный лимонад,1
84,"fitcode, BCAA, вишневый лаймад, 5 г, 249 г (8,8 унции)",fitcode,2025-07-01,250,г,0.32,2510,Аминокислоты,11.2,9.1,9.1,bcaa вишневый лаймад,1
85,"BPI Sports, Best BCAA, арбуз со льдом, 300 г (10,58 унции)",BPI Sports,2026-09-01,300,г,0.37,4730,Аминокислоты,9.4,9.4,11.7,best bcaa арбуз лед,1
86,"GAT, BCAA в порошке, без добавок, 266,5 г (9,4 унции)",GAT,2025-07-01,267,г,0.34,3309,Аминокислоты,11.4,9.1,9.1,bcaa порошок добавка,1
87,"MuscleSport, BCAA, Revolution, черничный лимонад, 450 г (15,9 унции)",MuscleSport,2025-04-01,450.757,г,0.52,6680,Аминокислоты,15.0,9.1,9.1,bcaa revolution черничный лимонад,1
88,"MuscleSport, BCAA, Revolution, вкус итальянского мороженого, 450 г (15,9 унции)",MuscleSport,2024-08-01,450.757,г,0.52,6680,Аминокислоты,14.9,14.7,9.1,bcaa revolution вкус итальянский мороженое,1
89,"USN, Amino Stim, незаменимые аминокислоты и энергия, фруктовый пунш, 285 г (10,05 унции)",USN,2026-08-01,284.912,г,0.38,3568,Аминокислоты,14.7,9.4,9.3,amino stim незаменимый аминокислота энергия фруктовый пунш,1
90,"NutraBio, BCAA 5000, клубнично-лимонная бомба, 477 г (1,05 фунта)",NutraBio,2024-10-01,476,г,0.57,5582,Аминокислоты,15.7,10.2,10.2,bcaa клубничный лимонный бомба,1
91,"JNX Sports, The Jinx, Hydra BCAA+, голубая малина, 309 г (10,8 унции)",JNX Sports,2025-04-01,306,г,0.38,3795,Аминокислоты,11.4,9.3,9.3,the jinx hydra bcaa голубой малина,1
92,"Nutrakey, BCAA Optima, Rainbow, 342 г (0,75 фунта)",Nutrakey,2025-09-01,340,г,0.41,5102,Аминокислоты,22.6,13.7,9.1,bcaa optima rainbow,1
93,"Nutrakey, BCAA Optima, таитянский фруктовый пунш, 342 г (0,75 фунта)",Nutrakey,2025-09-01,340,г,0.41,5102,Аминокислоты,13.7,9.1,9.0,bcaa optima таитянский фруктовый пунш,1
94,"ALLMAX, AMINOCORE BCAA, Ананас и манго, 315 г (0,69 фунта)",ALLMAX,2025-03-01,315,г,0.4,4290,Аминокислоты,15.7,10.2,10.4,aminocore bcaa ананас манго,1
95,"MusclePharm, EAA, восстановление + BCAA, кислые конфеты, 355 г (12,5 унции)",MusclePharm,2026-10-01,354.369,г,0.36,5102,Аминокислоты,16.6,12.6,8.4,eaa восстановление bcaa кислый конфета,1
96,"6AM Run, Finishline Recovery / Hydrate - арбуз, 325 г (11,46 унции)",6AM Run,2025-10-01,324.885,г,0.39,7294,Аминокислоты,14.6,9.4,9.4,finishline recovery hydrate арбуз,1
97,"ALLMAX, AMINOCORE BCAA, розовый лимонад, 315 г (0,69 фунта)",ALLMAX,2025-02-01,315,г,0.41,4290,Аминокислоты,15.7,10.2,10.3,aminocore bcaa розовый лимонад,1
98,"Lake Avenue Nutrition, Быстрорастворимый порошок BCAA, без добавок, 907 г (32 унции)",Lake Avenue Nutrition,2025-07-01,908,г,1.0,7406,Аминокислоты,16.3,12.4,12.4,быстрорастворимый порошок bcaa добавка,1
99,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, кислый лимонад, 366 г (12,91 унции)",Cutler Nutrition,2025-04-01,366,г,0.48,5102,Аминокислоты,14.5,9.1,9.1,generate превосходный настой bcaa eaa кислый лимонад,1
100,"MusclePharm, EAA, восстановление + BCAA, со вкусом арбуза, 366 г (12,9 унции)",MusclePharm,2026-10-01,368,г,0.39,5102,Аминокислоты,16.6,11.9,7.2,eaa восстановление bcaa вкус арбуз,1
101,"ALLMAX, AMINOCORE BCAA, белый виноград, 315 г (0,69 фунта)",ALLMAX,2025-01-01,315,г,0.41,4125,Аминокислоты,16.0,10.2,10.2,aminocore bcaa белый виноград,1
102,"Gaspari Nutrition, Аминоласт, восстановление и выносливость по формуле BCAA Superfuel, клубника и киви, 14.8 унции(420 г)",Gaspari Nutrition,2024-08-01,420,г,0.52,4616,Аминокислоты,14.2,9.1,9.1,аминоласт восстановление выносливость формула bcaa superfuel клубника киви,1
103,"Top Secret Nutrition, Sport, BCAA Re-Igniter с астаксантином Astapure, вишня и маргарита, 281 г (9,91 унции)",Top Secret Nutrition,2026-02-01,280.944,г,0.34,5102,Аминокислоты,11.0,9.1,9.1,sport bcaa igniter астаксантин astapure вишня маргарита,1
104,"NutraBio, BCAA 5000, голубая малина, 444 г (0,98 фунта)",NutraBio,2025-04-01,444.52,г,0.52,5582,Аминокислоты,15.7,10.3,10.2,bcaa голубой малина,1
105,"JNX Sports, The Jinx, Hydra BCAA+, лимон и лайм, 309 г (10,8 унции)",JNX Sports,2025-04-01,306,г,0.38,3795,Аминокислоты,11.4,9.1,9.1,the jinx hydra bcaa лимон лайм,1
106,"NOW Foods, Sports, BCAA Big 6, натуральный виноград, 600 г (21,16 унции)",NOW Foods,2024-04-01,600,г,0.7,6175,Аминокислоты,17.0,9.7,9.7,sports bcaa big натуральный виноград,1
107,"USN, BCAA Amino +, порошок для восстановления и выносливости, манго и ананас, 273 г (9,63 унции)",USN,,273,г,0.35,3615,Аминокислоты,14.9,9.4,9.3,bcaa amino порошок восстановление выносливость манго ананас,1
108,"ProSupps, Hydro BCAA, техасский чай, 441 г (15,6 унции)",ProSupps,2025-05-01,402,г,0.53,5102,Аминокислоты,14.5,9.1,9.1,hydro bcaa техасский чай,1
109,"EVLution Nutrition, BCAA Energy Plus, электролиты, апельсин и манго, 333 г (11,7 унции)",EVLution Nutrition,2025-12-01,333,г,0.41,2504,Аминокислоты,14.9,9.3,9.3,bcaa energy plus электролит апельсин манго,1
110,"BSN, AminoX, выносливость и восстановление, синяя малина, 435 г (15,3 унции)",BSN,2025-08-01,435,г,0.54,4265,Аминокислоты,9.7,9.7,16.8,aminox выносливость восстановление синий малина,1
111,"BSN, AminoX, выносливость и восстановление, фруктовый пунш, 435 г (15,3 унции)",BSN,2024-10-01,435,г,0.54,4265,Аминокислоты,9.7,9.7,16.8,aminox выносливость восстановление фруктовый пунш,1
112,"Xtend, Ripped, 7 г аминокислот с разветвленными цепями, со вкусом черничного лимонада, 495 г (1,09 фунта)",Xtend,,496,г,0.6,6369,Аминокислоты,16.3,12.3,9.4,ripped аминокислота разветвлять цепь вкус черничный лимонад,1
113,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом арбуза, 390 г (13,7 унции)",Xtend,2025-08-01,377,г,0.45,4779,Аминокислоты,15.0,9.4,9.4,the original аминокислота разветвлять цепь bcaa вкус арбуз,1
114,"Ronnie Coleman, Vital Edition, BCAA XS, добавка со вкусом лимонных мармеладок, 189 г (6,67 унции)",Ronnie Coleman,2024-10-01,189,г,0.27,2567,Аминокислоты,9.8,9.3,9.3,vital edition bcaa добавка вкус лимонный мармеладка,1
115,"Xtend, The Original 7 г BCAA, со вкусом яблока, 405 г (14,3 унции)",Xtend,2024-07-01,405,г,0.48,4779,Аминокислоты,15.0,9.5,9.3,the original bcaa вкус яблоко,1
116,"MuscleSport, BCAA, NRG Revolution, яблочные конфеты, 450 г (15,9 унции)",MuscleSport,2024-05-01,450.757,г,0.52,6680,Аминокислоты,14.6,9.1,9.0,bcaa nrg revolution яблочный конфета,1
117,"MuscleTech, Amino Build, со вкусом тропических фруктов, 614 г (21,64 унции)",MuscleTech,2024-11-01,614,г,0.77,4326,Аминокислоты,15.2,12.4,12.4,amino build вкус тропический фрукт,1
118,"Xtend, The Original, 7 г аминокислот с разветвленными цепями, со вкусом итальянского красного апельсина, 1,31 кг (2,88 фунта)",Xtend,2024-09-01,1280,г,1.43,10615,Аминокислоты,21.8,13.3,13.3,the original аминокислота разветвлять цепь вкус итальянский красный апельсин,1
119,"NOW Foods, Sports, аминокислоты с разветвленной цепью, 120 растительных капсул",NOW Foods,2027-07-01,120,шт.,0.16,2903,Аминокислоты,6.4,6.4,11.2,sports аминокислота разветвлять цепь,1
120,"Cutler Nutrition, Generate, Superior BCAA & EAA Infusion, радужные конфеты, 367 г (12,95 унции)",Cutler Nutrition,2025-09-01,367,г,0.45,5102,Аминокислоты,14.5,9.1,9.1,generate superior bcaa eaa infusion радужный конфета,1
121,"JAKTRX, BCAA Hydrate с кокосовой водой и электролитами, вишневый лаймад, 360 (12,7 унции)",JAKTRX,2025-02-01,360,г,0.38,8068,Аминокислоты,16.6,19.3,7.0,bcaa hydrate кокосовый вода электролит вишневый лаймад,1
122,"Finaflex, BCAA 2: 1: 1, фруктовый пунш, 276 г (9,7 унции)",Finaflex,2024-12-01,274,г,0.34,4125,Аминокислоты,11.7,9.1,9.1,bcaa фруктовый пунш,1
123,"NutraBio, BCAA 5000, конфеты из драконьего фрукта, 465 г (1,03 фунта)",NutraBio,2024-12-01,468,г,0.54,5582,Аминокислоты,15.7,10.2,10.2,bcaa конфета драконий фрукт,1
