,Код продукта,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки
23,NOW-00121,"NOW Foods, L-гистидин, 600 мг, 60 растительных капсул",NOW Foods,09.2025,60,шт.,0.1,3 085 ₽,Аминокислоты,11,5.7,5.8
24,MRM-71028,"MRM Nutrition, Nutrition, BCAA и G 6000, 150 капсул",MRM Nutrition,11.2026,150,шт.,0.25,3 974 ₽,Аминокислоты,7.9,7.9,13
25,SCI-00022,"Xtend, The Original, 7 г аминокислот с разветвленными цепями, со вкусом лимона и лайма, 1,26 кг (2,78 фунта)",Xtend,09.2025,1220,г,1.36,10 615 ₽,Аминокислоты,21.8,13.5,13.3
26,BLB-01590,"Bluebonnet Nutrition, BCAA в соотношении 4: 1: 1, 120 растительных капсул",Bluebonnet Nutrition,11.2026,120,шт.,0.34,5 488 ₽,Аминокислоты,6.6,6.6,13
27,SCI-00017,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом винограда, 405 г (14,3 унции)",Xtend,11.2025,405,г,0.47,4 779 ₽,Аминокислоты,17.3,9.7,9.7
28,UNN-03066,"Animal, Juiced Aminos, апельсиновый сок, 377 г (13,3 унции)",Animal,07.2026,377.048,г,0.48,5 416 ₽,Аминокислоты,14,10.3,10.2
29,EVL-86416,"EVLution Nutrition, BCAA LEAN ENERGY, фруктовый пунш, 321 г (11,32 унции)",EVLution Nutrition,05.2025,321,г,0.41,3 351 ₽,Аминокислоты,14.7,9.4,9.4
30,SCI-00032,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом клубники и киви, 1,26 кг (2,78 фунта)",Xtend,10.2025,1220,г,1.44,10 615 ₽,Аминокислоты,13.2,13.3,21.8
31,OPN-02036,"Optimum Nutrition, BCAA 1000, 1000 мг, 400 капсул (500 мг в 1 капсуле)",Optimum Nutrition,06.2025,400,шт.,0.36,7 042 ₽,Аминокислоты,16.5,8.8,8.8
32,SCI-00031,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом клубники и киви, 420 г (14,8 унции)",Xtend,10.2025,420,г,0.52,4 779 ₽,Аминокислоты,17.3,9.7,9.7
33,OPN-02037,"Optimum Nutrition, BCAA 1000, 1000 мг, 200 капсул (500 мг в 1 капсуле)",Optimum Nutrition,06.2025,200,шт.,0.18,3 798 ₽,Аминокислоты,7.6,7.6,13.5
34,CLL-02907,"Cellucor, BCAA Sport, Увлажнение и восстановление целый день, Вишневый лаймад, 11,6 унц. (330 г)",Cellucor,06.2025,330,г,0.41,3 960 ₽,Аминокислоты,14.7,9.1,8.9
35,UNN-03067,"Animal, Juiced Aminos, формула для приема во время и после тренировки, клубничный и лаймад, 366 г (12,9 унции)",Animal,02.2026,377.048,г,0.48,5 416 ₽,Аминокислоты,13.8,10.3,10.3
36,LEX-12539,"Life Extension, аминокислоты с разветвленной цепью, 90 капсул",Life Extension,10.2025,90,шт.,0.09,2 764 ₽,Аминокислоты,11.7,6.4,6.4
37,AMX-22730,"ALLMAX, ACUTS, аминокислотная энергия, со вкусом сладкой ваты, 210 г (7,4 унции)",ALLMAX,11.2025,210,г,0.27,3 489 ₽,Аминокислоты,11.6,9.3,9.3
38,EVL-86422,"EVLution Nutrition, BCAA Lean Energy, со вкусом синей малины, 303 г (10,60 унции)",EVLution Nutrition,06.2025,303,г,0.4,2 605 ₽,Аминокислоты,14.7,9.4,9.4
39,EVL-08751,"EVLution Nutrition, BCAA5000, без вкусовых добавок, 300 г (10,58 унции)",EVLution Nutrition,09.2025,300,г,0.39,2 765 ₽,Аминокислоты,9.1,9.1,10.7
40,AMX-20256,"ALLMAX, BCAA, быстрорастворимый порошок в соотношении 2:1:1, с нейтральным вкусом, 400 г (14,11 унции)",ALLMAX,02.2025,400.011,г,0.48,4 290 ₽,Аминокислоты,15.2,9.4,9.4
41,EVL-02017,"EVLution Nutrition, BCAA Energy, со вкусом арбуза, 252 г (8,89 унции)",EVLution Nutrition,07.2025,252,г,0.32,2 762 ₽,Аминокислоты,14.9,9.3,9.3
42,MPH-87801,"APS, Chain'd Reaction, Rocket Pop, 300 г (10,58 унции)",APS,04.2025,300,г,0.39,4 772 ₽,Аминокислоты,10.8,9.3,9.3
43,SCI-02028,"Xtend, The Original, 7 г BCAA, фруктовый пунш, 390 г (13,8 унции)",Xtend,12.2024,390,г,0.48,4 779 ₽,Аминокислоты,15,9.4,9.4
44,EVL-55252,"EVLution Nutrition, BCAA Energy, Зеленое Яблоко, 10,2 унций (291 г)",EVLution Nutrition,06.2025,291,г,0.37,2 762 ₽,Аминокислоты,14.7,9.4,9.3
45,PSS-81107,"ProSupps, Hydro BCAA +Essentials, добавка с электролитами и аминокислотами, фруктовый пунш, 414 г (14,6 фунтов)",ProSupps,01.2025,414,г,0.5,5 102 ₽,Аминокислоты,14.9,9.4,9.3
46,GSN-00841,"Gaspari Nutrition, Aminolast, Супертопливо BCAA, восстановление и выносливость, лимонный лед, 14,8 унц. (420 г)",Gaspari Nutrition,Not provided,420,г,0.52,4 616 ₽,Аминокислоты,14.2,9.1,9.1
47,AMX-22874,"ALLMAX, AMINOCORE BCAA, ананас и манго, 945 г (2,1 фунта)",ALLMAX,08.2026,952,г,1.1,8 196 ₽,Аминокислоты,14.1,17.3,14.2
48,OPN-02522,"Optimum Nutrition, BCAA 5000, растворимый порошок, без добавок, 345 г (12,16 унции)",Optimum Nutrition,08.2025,344.73,г,0.43,6 160 ₽,Аминокислоты,13.7,12.4,12.4
49,OPN-02035,"Optimum Nutrition, BCAA 1000, 1000 мг, 60 капсул (500 мг в 1 капсуле)",Optimum Nutrition,10.2025,60,шт.,0.07,1 704 ₽,Аминокислоты,10.7,5.1,5.1
50,EVL-02003,"EVLution Nutrition, BCAA ENERGY, голубая малина, 291 г (10,26 унции)",EVLution Nutrition,06.2024,291,г,0.36,3 752 ₽,Аминокислоты,14.9,9.3,9.3
51,SCI-00021,"Xtend, The Original 7 г BCAA, со вкусом лимона и лайма, 405 г (14,3 унции)",Xtend,01.2026,405,г,0.48,4 779 ₽,Аминокислоты,14.9,9.4,9.3
52,AMX-22876,"ALLMAX, AMINOCORE BCAA, со вкусом розового лимонада, 945 г (2,1 фунта)",ALLMAX,06.2026,952,г,1.11,8 196 ₽,Аминокислоты,17.4,14.2,14.2
53,MPH-87803,"APS, Chain'd Reaction, арбуз, 300 г (10,58 унции)",APS,01.2025,300,г,0.36,4 772 ₽,Аминокислоты,10.9,9.1,9.1
54,PSS-81108,"ProSupps, Hydro BCAA +Essentials, добавка с электролитами и аминокислотами, голубая малина, 414 г (14,6 унции)",ProSupps,04.2025,414,г,0.5,5 102 ₽,Аминокислоты,14.9,9.1,9.1
55,SCI-00029,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом манго, 1,26 кг (2,78 фунта)",Xtend,12.2025,1220,г,1.36,10 615 ₽,Аминокислоты,13.2,13.3,21.8
56,SCI-00015,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом голубой малины, 420 г (14,8 унции)",Xtend,11.2025,420,г,0.52,4 779 ₽,Аминокислоты,17.3,9.7,9.7
57,BSN-00336,"BSN, Amino-X, для выносливости и восстановления, со вкусом винограда, 435 г (15,3 унции)",BSN,08.2025,435,г,0.54,4 265 ₽,Аминокислоты,9.7,9.7,16.8
58,EVL-02002,"EVLution Nutrition, BCAA Energy, смесь для приготовления энергетических напитков, фруктовый пунш, 288 г (10,16 унции)",EVLution Nutrition,04.2025,288,г,0.34,3 752 ₽,Аминокислоты,14.9,9.4,9.1
59,COB-84936,"JNX Sports, The Jinx, Hydra BCAA +, арбуз, 1 шт., 10,3 г (0,36 унции)",JNX Sports,07.2025,10,г,0.01,419 ₽,Аминокислоты,12.6,3.4,1.1
60,AMX-22877,"ALLMAX, AMINOCORE BCAA, арбуз, 945 г (2,1 фунта)",ALLMAX,12.2025,952,г,1.13,8 196 ₽,Аминокислоты,17.5,14.2,14.1
61,EVL-02194,"EVLution Nutrition, BCAA ENERGY, Pink Starblast, 270 г (9,52 унции)",EVLution Nutrition,07.2025,291,г,0.33,2 762 ₽,Аминокислоты,14.7,9.4,9.3
62,EVL-90914,"EVLution Nutrition, BCAA5000, 240 капсул",EVLution Nutrition,10.2025,240,шт.,0.22,2 879 ₽,Аминокислоты,13.2,7.9,7.9
63,NRB-52660,"NutraBio, BCAA 5000, киви и клубника, 401 г (0,88 фунта)",NutraBio,10.2024,399.161,г,0.48,5 582 ₽,Аминокислоты,15.7,10.3,10.2
64,PSS-81109,"ProSupps, Hydro BCAA + Essentials, арбуз, 414 г (14,6 унции)",ProSupps,07.2024,414,г,0.5,5 102 ₽,Аминокислоты,14.9,9.3,9.3
65,EVL-02090,"EVLution Nutrition, BCAA Lean Energy, со вкусом винограда, 309 г (10,90 унции)",EVLution Nutrition,08.2025,309,г,0.39,3 351 ₽,Аминокислоты,14.9,9.4,9.3
66,NOW-00213,"NOW Foods, Sports, аминокислотный порошок с разветвленной цепью, 12 унций (340 г)",NOW Foods,10.2028,340,г,0.43,5 005 ₽,Аминокислоты,16.8,8.6,8.6
67,EVL-55283,"EVLution Nutrition, BCAA5000, яростный виноград, 258 г (9,1 унции)",EVLution Nutrition,02.2026,258,г,0.32,2 587 ₽,Аминокислоты,11.4,9.3,9.3
68,FCD-02879,"fitcode, BCAA, голубая малина, 240 г (8,5 унции)",fitcode,10.2025,240,г,0.32,2 514 ₽,Аминокислоты,11.2,9.1,9.1
69,SCI-00028,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом манго, 420 г (14,8 унции)",Xtend,10.2025,420,г,0.52,4 779 ₽,Аминокислоты,17.3,9.7,9.7
70,STF-05181,"SteelFit, Steel Fuel, универсальное средство с разветвленной цепью и BCAA + Hydration Formula, виноградная сода, 330 г (11,64 унции)",SteelFit,08.2025,330,г,0.41,4 610 ₽,Аминокислоты,14.7,9.4,9.4
71,MRM-71043,"MRM Nutrition, Reload BCAA + G, восстановление после тренировки, арбуз, 330 г (11,6 унции)",MRM Nutrition,11.2026,330,г,0.41,3 462 ₽,Аминокислоты,14.7,9.4,9.4
72,CGN-02307,"California Gold Nutrition, микронизированные BCAA, аминокислоты с разветвленной цепью, 500 мг, 240 растительных капсул (250 мг в 1 капсуле)",California Gold Nutrition,09.2025,240,шт.,0.27,3 826 ₽,Аминокислоты,13.7,7.6,7.6
73,AMX-22862,"ALLMAX, AMINOCORE BCAA, смесь для роста мышц, фруктовый пунш, 315 г (0,69 фунта)",ALLMAX,02.2025,315,г,0.4,4 290 ₽,Аминокислоты,15.7,10.2,10.4
74,BSN-00326,"BSN, Amino-X, выносливость и восстановление, арбуз, 435 г (15,3 унции)",BSN,12.2025,435,г,0.54,4 265 ₽,Аминокислоты,9.7,9.7,16.8
75,NCS-00864,"Nutricost, Для женщин, BCAA, клубничный лимонад, 330 г (11,6 унции)",Nutricost,08.2026,330,г,0.39,3 346 ₽,Аминокислоты,11.6,9.1,9.1
76,EVL-02512,"EVLution Nutrition, BCAA ENERGY, апельсиновый сок, 285 г (10,1 унции)",EVLution Nutrition,11.2025,285,г,0.35,2 282 ₽,Аминокислоты,14.7,9.4,9.3
77,RYS-00062,"RYSE, BCAA / EAA, вишневый лаймад, 372 г (13,1 унции)",RYSE,02.2025,372,г,0.45,5 898 ₽,Аминокислоты,14.9,9.3,9.1
78,SCI-00024,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом арбуза, 1,17 кг (2,58 фунта)",Xtend,09.2025,1170,г,1.3,10 615 ₽,Аминокислоты,21.3,13.3,13.3
79,RYS-00803,"RYSE, BCAA / EAA, чай с персиком и манго, 357 г (12,6 унции)",RYSE,08.2024,357,г,0.43,5 898 ₽,Аминокислоты,14.9,9.3,9.1
80,BNR-01148,"Best Naturals, BCAA, 3200 мг, 400 капсул (800 мг в 1 капсуле)",Best Naturals,02.2026,400,шт.,0.43,4 704 ₽,Аминокислоты,16.4,8.6,8.6
81,SCI-10314,"Xtend, Ripped, 7 г аминокислот с разветвленной цепью, со вкусом клубники и киви, 495 г (1,09 фунта)",Xtend,10.2025,496,г,0.59,6 369 ₽,Аминокислоты,16.3,9.4,9.3
82,CUT-85912,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, арбуз, 321 г (11,3 унции)",Cutler Nutrition,08.2025,320,г,0.41,5 102 ₽,Аминокислоты,14.4,9.3,9.1
83,CUT-85913,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, ежевичный лимонад, 330 г (11,64 унции)",Cutler Nutrition,07.2025,330,г,0.43,5 102 ₽,Аминокислоты,14.5,9.1,9.1
84,FCD-02880,"fitcode, BCAA, вишневый лаймад, 5 г, 249 г (8,8 унции)",fitcode,07.2025,250,г,0.32,2 510 ₽,Аминокислоты,11.2,9.1,9.1
85,BPI-00633,"BPI Sports, Best BCAA, арбуз со льдом, 300 г (10,58 унции)",BPI Sports,09.2026,300,г,0.37,4 730 ₽,Аминокислоты,9.4,9.4,11.7
86,GAT-00004,"GAT, BCAA в порошке, без добавок, 266,5 г (9,4 унции)",GAT,07.2025,267,г,0.34,3 309 ₽,Аминокислоты,11.4,9.1,9.1
87,MSL-66405,"MuscleSport, BCAA, Revolution, черничный лимонад, 450 г (15,9 унции)",MuscleSport,04.2025,450.757,г,0.52,6 680 ₽,Аминокислоты,15,9.1,9.1
88,MSL-08887,"MuscleSport, BCAA, Revolution, вкус итальянского мороженого, 450 г (15,9 унции)",MuscleSport,08.2024,450.757,г,0.52,6 680 ₽,Аминокислоты,14.9,14.7,9.1
89,USN-94113,"USN, Amino Stim, незаменимые аминокислоты и энергия, фруктовый пунш, 285 г (10,05 унции)",USN,08.2026,284.912,г,0.38,3 568 ₽,Аминокислоты,14.7,9.4,9.3
90,NRB-27040,"NutraBio, BCAA 5000, клубнично-лимонная бомба, 477 г (1,05 фунта)",NutraBio,10.2024,476,г,0.57,5 582 ₽,Аминокислоты,15.7,10.2,10.2
91,COB-84921,"JNX Sports, The Jinx, Hydra BCAA+, голубая малина, 309 г (10,8 унции)",JNX Sports,04.2025,306,г,0.38,3 795 ₽,Аминокислоты,11.4,9.3,9.3
92,NKY-00698,"Nutrakey, BCAA Optima, Rainbow, 342 г (0,75 фунта)",Nutrakey,09.2025,340,г,0.41,5 102 ₽,Аминокислоты,22.6,13.7,9.1
93,EHL-93770,"EHPlabs, Beyond BCAA + EAA, леденцы с виноградными конфетами, 429 г (15,1 унции)",EHPlabs,04.2025,429,г,0.56,8 190 ₽,Аминокислоты,14.4,9.3,9.1
94,NKY-00602,"Nutrakey, BCAA Optima, таитянский фруктовый пунш, 342 г (0,75 фунта)",Nutrakey,09.2025,340,г,0.41,5 102 ₽,Аминокислоты,13.7,9.1,9
95,AMX-22863,"ALLMAX, AMINOCORE BCAA, Ананас и манго, 315 г (0,69 фунта)",ALLMAX,03.2025,315,г,0.4,4 290 ₽,Аминокислоты,15.7,10.2,10.4
96,MSF-00870,"MusclePharm, EAA, восстановление + BCAA, кислые конфеты, 355 г (12,5 унции)",MusclePharm,10.2026,354.369,г,0.36,5 102 ₽,Аминокислоты,16.6,12.6,8.4
97,RUN-34355,"6AM Run, Finishline Recovery / Hydrate - арбуз, 325 г (11,46 унции)",6AM Run,10.2025,324.885,г,0.39,7 294 ₽,Аминокислоты,14.6,9.4,9.4
98,AMX-22865,"ALLMAX, AMINOCORE BCAA, розовый лимонад, 315 г (0,69 фунта)",ALLMAX,02.2025,315,г,0.41,4 290 ₽,Аминокислоты,15.7,10.2,10.3
99,LKN-01968,"Lake Avenue Nutrition, Быстрорастворимый порошок BCAA, без добавок, 907 г (32 унции)",Lake Avenue Nutrition,07.2025,908,г,1,7 406 ₽,Аминокислоты,16.3,12.4,12.4
100,CUT-85954,"Cutler Nutrition, Generate, превосходный настой BCAA и EAA, кислый лимонад, 366 г (12,91 унции)",Cutler Nutrition,04.2025,366,г,0.48,5 102 ₽,Аминокислоты,14.5,9.1,9.1
101,MSF-00871,"MusclePharm, EAA, восстановление + BCAA, со вкусом арбуза, 366 г (12,9 унции)",MusclePharm,10.2026,368,г,0.39,5 102 ₽,Аминокислоты,16.6,11.9,7.2
102,AMX-22864,"ALLMAX, AMINOCORE BCAA, белый виноград, 315 г (0,69 фунта)",ALLMAX,01.2025,315,г,0.41,4 125 ₽,Аминокислоты,16,10.2,10.2
103,GSN-00843,"Gaspari Nutrition, Аминоласт, восстановление и выносливость по формуле BCAA Superfuel, клубника и киви, 14.8 унции(420 г)",Gaspari Nutrition,08.2024,420,г,0.52,4 616 ₽,Аминокислоты,14.2,9.1,9.1
104,TOS-02187,"Top Secret Nutrition, Sport, BCAA Re-Igniter с астаксантином Astapure, вишня и маргарита, 281 г (9,91 унции)",Top Secret Nutrition,02.2026,280.944,г,0.34,5 102 ₽,Аминокислоты,11,9.1,9.1
105,NRB-26840,"NutraBio, BCAA 5000, голубая малина, 444 г (0,98 фунта)",NutraBio,04.2025,444.52,г,0.52,5 582 ₽,Аминокислоты,15.7,10.3,10.2
106,COB-84919,"JNX Sports, The Jinx, Hydra BCAA+, лимон и лайм, 309 г (10,8 унции)",JNX Sports,04.2025,306,г,0.38,3 795 ₽,Аминокислоты,11.4,9.1,9.1
107,NOW-00119,"NOW Foods, Sports, BCAA Big 6, натуральный виноград, 600 г (21,16 унции)",NOW Foods,04.2024,600,г,0.7,6 175 ₽,Аминокислоты,17,9.7,9.7
108,USN-94513,"USN, BCAA Amino +, порошок для восстановления и выносливости, манго и ананас, 273 г (9,63 унции)",USN,Not provided,273,г,0.35,3 615 ₽,Аминокислоты,14.9,9.4,9.3
109,PSS-02308,"ProSupps, Hydro BCAA, техасский чай, 441 г (15,6 унции)",ProSupps,05.2025,402,г,0.53,5 102 ₽,Аминокислоты,14.5,9.1,9.1
110,EVL-02885,"EVLution Nutrition, BCAA Energy Plus, электролиты, апельсин и манго, 333 г (11,7 унции)",EVLution Nutrition,12.2025,333,г,0.41,2 504 ₽,Аминокислоты,14.9,9.3,9.3
111,BSN-00338,"BSN, AminoX, выносливость и восстановление, синяя малина, 435 г (15,3 унции)",BSN,08.2025,435,г,0.54,4 265 ₽,Аминокислоты,9.7,9.7,16.8
112,BSN-00330,"BSN, AminoX, выносливость и восстановление, фруктовый пунш, 435 г (15,3 унции)",BSN,10.2024,435,г,0.54,4 265 ₽,Аминокислоты,9.7,9.7,16.8
113,SCI-10315,"Xtend, Ripped, 7 г аминокислот с разветвленными цепями, со вкусом черничного лимонада, 495 г (1,09 фунта)",Xtend,Not provided,496,г,0.6,6 369 ₽,Аминокислоты,16.3,12.3,9.4
114,SCI-00023,"Xtend, The Original, 7 г аминокислот с разветвленной цепью (BCAA), со вкусом арбуза, 390 г (13,7 унции)",Xtend,08.2025,377,г,0.45,4 779 ₽,Аминокислоты,15,9.4,9.4
115,FNX-72085,"Finaflex, BCAA 2: 1: 1, голубая малина, 276 г (9,7 унции)",Finaflex,03.2025,274,г,0.34,4 125 ₽,Аминокислоты,11.4,9.4,9.4
116,RCB-00711,"Ronnie Coleman, Vital Edition, BCAA XS, добавка со вкусом лимонных мармеладок, 189 г (6,67 унции)",Ronnie Coleman,10.2024,189,г,0.27,2 567 ₽,Аминокислоты,9.8,9.3,9.3
117,SCI-00013,"Xtend, The Original 7 г BCAA, со вкусом яблока, 405 г (14,3 унции)",Xtend,07.2024,405,г,0.48,4 779 ₽,Аминокислоты,15,9.5,9.3
118,MSL-66691,"MuscleSport, BCAA, NRG Revolution, яблочные конфеты, 450 г (15,9 унции)",MuscleSport,05.2024,450.757,г,0.52,6 680 ₽,Аминокислоты,14.6,9.1,9
119,MSC-71580,"MuscleTech, Amino Build, со вкусом тропических фруктов, 614 г (21,64 унции)",MuscleTech,11.2024,614,г,0.77,4 326 ₽,Аминокислоты,15.2,12.4,12.4
120,SCI-02166,"Xtend, The Original, 7 г аминокислот с разветвленными цепями, со вкусом итальянского красного апельсина, 1,31 кг (2,88 фунта)",Xtend,09.2024,1280,г,1.43,10 615 ₽,Аминокислоты,21.8,13.3,13.3
121,NOW-00053,"NOW Foods, Sports, аминокислоты с разветвленной цепью, 120 растительных капсул",NOW Foods,07.2027,120,шт.,0.16,2 903 ₽,Аминокислоты,6.4,6.4,11.2
122,CUT-85924,"Cutler Nutrition, Generate, Superior BCAA & EAA Infusion, радужные конфеты, 367 г (12,95 унции)",Cutler Nutrition,09.2025,367,г,0.45,5 102 ₽,Аминокислоты,14.5,9.1,9.1
123,JKT-95611,"JAKTRX, BCAA Hydrate с кокосовой водой и электролитами, вишневый лаймад, 360 (12,7 унции)",JAKTRX,02.2025,360,г,0.38,8 068 ₽,Аминокислоты,16.6,19.3,7
124,NRB-26950,"NutraBio, BCAA 5000, конфеты из драконьего фрукта, 465 г (1,03 фунта)",NutraBio,12.2024,468,г,0.54,5 582 ₽,Аминокислоты,15.7,10.2,10.2
125,GSN-02033,"Gaspari Nutrition, Aminolast, супер-BCAA для восстановления и выносливости, фруктовый пунш, 420 г (14,8 унций)",Gaspari Nutrition,07.2024,420,г,0.52,4 616 ₽,Аминокислоты,14.5,9.4,9.4
126,COB-84922,"JNX Sports, The Jinx, Hydra BCAA+, арбуз, 309 г (10,8 унции)",JNX Sports,04.2025,306,г,0.38,3 795 ₽,Аминокислоты,11.4,9.1,9.3
127,AMX-22866,"ALLMAX, AMINOCORE BCAA, Арбуз, 315 г (0,69 фунта)",ALLMAX,01.2025,315,г,0.41,4 290 ₽,Аминокислоты,15.7,10.2,10.4
128,MSC-71581,"MuscleTech, Amino Build, аминокислоты, клубника и арбуз, 593 г (20,92 унции)",MuscleTech,01.2025,593.072,г,0.73,4 326 ₽,Аминокислоты,15.5,12.6,12.4
129,PSS-02635,"ProSupps, Hydro BCAA + основные питательные вещества, ежевичный лимонад, 390 г (13,75 унции)",ProSupps,01.2025,390,г,0.48,5 102 ₽,Аминокислоты,14.9,9.3,9.3
130,CGN-01127,"California Gold Nutrition, BCAA, аминокислоты с разветвленными цепями AjiPure®, 500 мг, 60 растительных капсул",California Gold Nutrition,Not provided,60,шт.,0.07,1 224 ₽,Аминокислоты,9.7,5.2,5.1
131,SWV-01927,"Swanson, BCAA`` 100 капсул",Swanson,05.2025,100,шт.,0.12,1 859 ₽,Аминокислоты,11.2,6.4,6.4
132,MTB-31993,"Metabolic Nutrition, Tri-Pep, аминокислота с разветвленной цепью, лимонад, 400 г (14,1 унции)",Metabolic Nutrition,06.2026,400.011,г,0.5,5 898 ₽,Аминокислоты,14,12.3,12.2
133,UNN-03065,"Animal, аминокислотный порошок, со вкусом винограда, 405 г (14,3 унции)",Animal,10.2026,405,г,0.5,5 416 ₽,Аминокислоты,13.8,10.3,10.2
